Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED_R,LED0402-RD,139.79,-102.95,-90,top
D2,LED_G,LED0402-RD_GREEN,138.45,-102.95,-90,top
Q1,AGM60P100A,TDSON-8_L5.9-W5.2-P1.27-BL,147.02,-104.11,90,top
Q2,BSS138LT3G,SOT96P237X111-3N,153.4,-103.4,90,top
R1,10k,R_0402_1005Metric,155.605404,-103.55876,-90,top
R2,10k,R_0402_1005Metric,151.19,-104.37,90,top
R3,10k,R_0402_1005Metric,140.8,-102.95,90,top
R4,150,R_0402_1005Metric,139.79,-104.9,90,top
R5,150,R_0402_1005Metric,138.45,-104.9,90,top
U1,2060-452/998-404,CONN-SMD_2060-452,133.34,-108.4,-90,top
U2,2060-452/998-404,CONN-SMD_2060-452,162.5,-113.5,180,top
